BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI_min
1,Maoershan ERS-Oak,2004,1.5,45.37,127.53,,None,None,Temperate,Forest,Natural,Deciduous,2.8,700,261,Rh,-1.916176632
2,Maoershan ERS-Aspen,2004,1.5,45.37,127.53,,None,None,Temperate,Forest,Natural,Deciduous,2.8,700,187,Rh,-1.916176632
3,Maoershan ERS-DecidMix,2004,1.5,45.37,127.53,,None,None,Temperate,Forest,Natural,Deciduous,2.8,700,301,Rh,-1.916176632
4,Maoershan ERS-Hardwood,2004,1.5,45.37,127.53,300,None,None,Temperate,Forest,Natural,Deciduous,2.8,700,245,Rh,-1.916176632
5,Maoershan ERS-Pine,2004,1.5,45.37,127.53,300,None,None,Temperate,Forest,Natural,Evergreen,2.8,700,89,Rh,-1.916176632
6,Maoershan ERS-Larch,2004,1.5,45.37,127.53,300,None,None,Temperate,Forest,Natural,Deciduous,2.8,700,196,Rh,-1.916176632
7,Dinghushan-BF,2001,1,23.17,112.54,,None,None,Tropical,Forest,Natural,Deciduous,21,1927,134,Rh,-0.752759187
8,Dinghushan-MF,2001,1,23.17,112.54,,None,None,Tropical,Forest,Natural,Mixed,21,1927,113,Rh,-0.752759187
9,Dinghushan-PF,2001,1,23.17,112.54,,None,None,Tropical,Forest,Natural,Evergreen,21,1927,120,Rh,-0.752759187
10,Haibei Station,2005,1,37.5,101.33,3300,None,None,Boreal,Grassland,Natural,Deciduous,-1.7,580,136,Rh,-1.474942799
11,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,736,Rh,-1.285721454
12,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,Plantation,C. kawakamii plantation,Subtropical,Forest,Managed,Evergreen,19.1,1749,576,Rh,-1.285721454
13,Xinkou Experimental Forestry Centre-Xiaohu,2001,1,26.19,117.43,,Plantation,C. kawakamii plantation,Subtropical,Forest,Managed,Evergreen,19.1,1749,282,Rh,-1.285721454
14,Xinkou Experimental Forestry Centre-Xiaohu,2002,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,772,Rh,-1.212428495
15,Xinkou Experimental Forestry Centre-Xiaohu,2002,1,26.19,117.43,,Plantation,C. kawakamii plantation,Subtropical,Forest,Managed,Evergreen,19.1,1749,598,Rh,-1.212428495
