BH,Site_name,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,MAT,MAP,RS,RS_component,SPEI,LogRS
17,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,None,None,Subtropical,Forest,Natural,Evergreen,19.1,1749,669,Rh,-2.320547065,2.825426118
18,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,19.1,1749,487,Rh,-2.320547065,2.687528961
19,Xinkou Experimental Forestry Centre-Xiaohu,2003,1,26.19,117.43,,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,19.1,1749,245,Rh,-2.320547065,2.389166084
21,Yao Jingzi Grassland Nature Reserve,2002,1,44.75,123.75,160,None,None,Temperate,Grassland,Natural,Deciduous,4.9,470,159,Rh,-2.329523087,2.201397124
22,Yao Jingzi Grassland Nature Reserve,2002,1,44.75,123.75,160,None,None,Temperate,Grassland,Natural,Deciduous,4.9,470,139,Rh,-2.329523087,2.1430148
26,Menglun Nature Reserve,2005,5,21.9275,101.2652778,750,None,None,Tropical,Forest,Natural,Mixed,21.7,1487,454,Rh,-2.287091167,2.657055853
27,Tianjiling National Park,2007,1,28.1,113.0166667,80,Plantation,Cunninghamia lanceolata plantation,Subtropical,Forest,Managed,Evergreen,17.2,1422,352,Rh,-2.35308924,2.546542663
38,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Girdling,Girdling,Subtropical,Forest,Managed,Evergreen,21.7,1295,476,Rh,-2.025274407,2.677606953
39,Heshan Hilly Land Interdisciplinary Experimental Station,2007,1,22.56666667,112.8333333,,Girdling,Girdling,Subtropical,Forest,Managed,Evergreen,21.7,1295,432,Rh,-2.025274407,2.635483747
40,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,Plantation,Robinia pseudoacacia plantation,Temperate,Forest,Managed,Deciduous,10.6,498,844,Rh,-2.193073463,2.926342447
41,Mt. Gonglushan,2010,1,36.42333333,109.5255,1353,None,None,Temperate,Forest,Natural,Deciduous,10.6,498,1234,Rh,-2.193073463,3.09131516
50,,2010,1,29.5,103.6,,Plantation,,Temperate,Forest,Managed,Evergreen,15,1489.8,87,Rh,-2.196029425,1.939519253
51,Changwu Station,2008,1,35.2,104.67,1200,Understory removal,vegetation removed,Temperate,Grassland,Managed,Deciduous,9.4,560,293,Rh,-2.005802254,2.46686762
