Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,year,Juliday,month,ecosystems,total Soil respiration,soil temperature,soil MOSITURE (%WHC),Root respiration,Rh,Ecosystems,SPEI,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,7,Cropland,3.324175824,22.2875817,21.5371179,,,1,-0.2242822,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,8,Cropland,4.377448638,21.37254902,16.40531957,,,1,-0.335391466,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,9,Cropland,3.947052947,19.37908497,14.52539646,,,1,-0.114792527,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,10,Cropland,2.579036348,12.18954248,21.45692735,,,1,0.897670003,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,11,Cropland,1.285714286,5.751633987,21.79436284,,,1,-1.613393361,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,12,Cropland,0.810989011,-0.588235294,9.875713806,,,1,-1.247022965,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,1,Cropland,0.593406593,-1.862745098,7.278020378,,,1,1.317334396,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,2,Cropland,0.791208791,1.323529412,15.66593886,,,1,1.710028247,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,3,Cropland,2.032967033,6.951871658,17.77292576,,,1,-1.681154329,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,4,Cropland,2.626373626,10.75630252,14.23580786,,,1,-1.396784513,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,5,Cropland,2.586644125,15.44817927,16.79237793,,,1,0.378377053,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,6,Cropland,2.891679749,21.23680241,18.74818049,,,1,-0.786505024,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,7,Cropland,6.721153846,24.82026144,30.3025577,,,1,0.124577889,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,8,Cropland,7.734065934,26.44607843,26.68607472,,,1,-0.517512148,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,9,Cropland,2.305631868,17.3453997,31.47379913,,,1,0.08947901,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,10,Cropland,1.539148352,16.03921569,31.73216885,,,1,-1.22476285,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,11,Cropland,0.791208791,5.941176471,20.98799127,,,1,-0.808218212,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,12,Cropland,0.807692308,0.82788671,17.41266376,,,1,-0.011721005,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,1,Cropland,0.692307692,-0.980392157,13.38116032,,,1,-0.822625894,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,2,Cropland,0.90989011,1.617647059,15.37741734,,,1,-0.968408649,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,3,Cropland,1.230769231,5.284780579,16.44104803,,,1,1.251532985,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,4,Cropland,1.951048951,10.0461361,11.62057254,,,1,-1.83657424,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,5,Cropland,2.021978022,15.98039216,12.46967492,,,1,-1.612915123,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,6,Cropland,2.508491508,19.92869875,16.22615491,,,1,0.539457883,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,7,Cropland,7.626373626,23.08496732,26.81495633,,,1,1.134034177,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,8,Cropland,5.247252747,23.9869281,29.67133992,,,1,0.162508539,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,9,Cropland,3.032967033,16.40522876,29.79707167,,,1,-0.279464881,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,10,Cropland,1.483516484,11.32730015,23.63537118,,,1,1.545540222,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,11,Cropland,0.815934066,4.989106754,19.50509461,,,1,-1.753349445,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2007,,12,Cropland,0.741758242,0.45751634,15.12788522,,,1,0.390194441,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,1,Cropland,0.712087912,-1.013071895,10.66749844,,,1,1.776815267,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,2,Cropland,1.35989011,0.130718954,22.05240175,,,1,0.410857423,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,3,Cropland,2.48489011,7.573529412,18.26783115,,,1,-1.216149827,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,4,Cropland,3.108320251,11.41517477,16.81222707,,,1,-0.673538903,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,5,Cropland,2.613814757,17.77777778,13.31877729,,,1,-1.985855194,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,6,Cropland,3.234647705,21.06617647,18.94884591,,,1,-0.301681275,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,7,Cropland,5.831360947,23.24929972,24.81143311,,,1,-1.111066978,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,8,Cropland,5.05255614,23.4402852,26.68607472,,,1,-0.006503506,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,9,Cropland,2.076923077,17.51336898,23.68155862,,,1,0.339057418,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,10,Cropland,1.285714286,13.59477124,19.82532751,,,1,-0.521759306,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,11,Cropland,0.840659341,,,,,1,-1.064585011,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,,12,Cropland,1.186813187,0.196078431,14.52957523,,,1,-1.908248616,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,1,Cropland,1.001373626,-0.882352941,,,,1,-1.366150025,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,2,Cropland,1.494505495,0.588235294,19.94177584,,,1,0.685673541,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,3,Cropland,2.241758242,7.208765859,18.77729258,,,1,-0.373504024,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,4,Cropland,2.481518482,12.51633987,19.30131004,,,1,-1.393987114,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,5,Cropland,2.855769231,15.36414566,23.04706453,,,1,0.423969284,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,6,Cropland,,24.03921569,19.38864629,,,1,-1.533773569,,,
,,1,Zhou,,,,China,Shanxi,Changwu,,,,35.2,107.666667,1200,None,,,,Triticum aestivum,temperature,Cropland,Managed,,,heilu soil,Dry,,,,,,9.1,580.5,,,,IRGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009,,7,Cropland,,,18.12227074,,,1,-1.026504003,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,1,Forests,1.012084592,,8.157099698,0.513595166,0.498489426,3,-0.953398979,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,2,Forests,1.812688822,,12.96072508,0.891238671,0.891238671,3,1.26189868,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,3,Forests,2.371601208,,14.22960725,1.299093656,1.012084592,3,0.449867378,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,4,Forests,2.719033233,,17.22054381,0.996978852,1.67673716,3,0.438560082,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,5,Forests,3.383685801,,21.11782477,1.404833837,1.873111782,3,0.379618622,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,6,Forests,3.474320242,,20.93655589,2.009063444,1.419939577,3,-0.407198242,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,7,Forests,4.441087613,,23.3836858,2.613293051,1.767371601,3,-0.693578124,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,8,Forests,3.3081571,,18.21752266,1.495468278,1.722054381,3,1.007258144,,,
,,2,Dong,,,,China,Shandong,Linyi,,2011,,35.25,118.066667,,None,,,,Populus tremuloide,Temperate,Forests,Natural,Deciduous,Middle-age,cinnamon soil,Dry,,,,,,14.1,850,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,2010,,9,Forests,3.277945619,,16.85800604,1.208459215,2.024169184,3,1.13523382,,,
