BH,LON,LAT,SPEI,RS_anomaly,IGBP,Vegetation
21766,73.982,39.951,-2.121156612,-0.810604913,10,Grassland
21589,74.182,40.051,-2.123928856,-1.376532484,10,Grassland
21412,74.482,40.151,-2.21106355,-0.342995567,10,Grassland
21231,74.582,40.251,-2.258363386,-1.363286593,10,Grassland
24459,74.682,38.651,-2.31052084,-0.597365252,10,Grassland
21414,74.682,40.151,-2.269627346,-2.563622559,10,Grassland
21232,74.682,40.251,-2.287870012,-1.007555287,10,Grassland
21233,74.782,40.251,-2.106678378,-0.582025667,10,Grassland
23597,75.082,39.051,-2.227205273,-2.373849957,10,Grassland
21948,75.082,39.851,-2.056611784,-1.686363054,10,Grassland
21236,75.082,40.251,-2.233575365,-2.911719088,10,Grassland
21050,75.082,40.351,-2.226572005,-1.447015505,10,Grassland
21949,75.182,39.851,-2.647176573,-0.342987569,10,Grassland
21416,75.182,40.151,-2.217111472,-2.423236029,10,Grassland
21237,75.182,40.251,-2.376371461,-1.175008471,10,Grassland
21768,75.282,39.951,-2.228963817,-2.269099485,10,Grassland
21417,75.282,40.151,-2.516152103,-0.7605005,10,Grassland
21238,75.282,40.251,-2.196955419,-1.345258648,10,Grassland
25995,75.382,38.051,-2.353457103,-0.679213878,10,Grassland
21951,75.382,39.851,-2.253164292,-1.228621479,10,Grassland
21769,75.382,39.951,-2.239877177,-1.163122361,10,Grassland
21597,75.382,40.051,-2.226590062,-0.891856202,10,Grassland
21239,75.382,40.251,-2.200104097,-1.311880304,10,Grassland
21051,75.382,40.351,-2.195643504,-1.134714645,10,Grassland
29156,75.482,37.051,-2.402756227,-0.342790465,10,Grassland
24245,75.482,38.751,-2.373313879,-1.332509304,10,Grassland
21770,75.482,39.951,-2.250790537,-1.248138563,10,Grassland
21598,75.482,40.051,-2.234922541,-0.59113379,10,Grassland
21052,75.482,40.351,-2.194007359,-1.522725487,10,Grassland
20655,75.482,40.551,-2.17551653,-2.296222475,10,Grassland
29502,75.582,36.951,-2.124318442,-1.6346046,10,Grassland
27483,75.582,37.551,-2.327236827,-1.050913829,10,Grassland
25724,75.582,38.151,-2.290060424,-2.686903793,10,Grassland
23152,75.582,39.251,-2.335099161,-3.514746937,10,Grassland
21599,75.582,40.051,-2.484949259,-1.019911722,10,Grassland
20456,75.582,40.651,-2.150280503,0,10,Grassland
25998,75.682,38.051,-2.023660005,-0.941531338,10,Grassland
22730,75.682,39.451,-2.346204613,-1.659935781,10,Grassland
21419,75.682,40.151,-2.23055774,-0.934462205,10,Grassland
20862,75.682,40.451,-2.171920009,-0.344937025,10,Grassland
26848,75.782,37.751,-2.586501805,-1.54660133,10,Grassland
25726,75.782,38.151,-2.347314022,-1.170827145,10,Grassland
24463,75.782,38.651,-2.742499032,-1.784004793,10,Grassland
23153,75.782,39.251,-2.213290554,-1.249282304,10,Grassland
22931,75.782,39.351,-2.024665566,-1.261668259,10,Grassland
27161,75.882,37.651,-2.29671196,-1.619226638,10,Grassland
25454,75.882,38.251,-2.354400727,-0.935664834,10,Grassland
24938,75.882,38.451,-2.052944115,-2.016073411,10,Grassland
23154,75.882,39.251,-2.047002762,0.418772851,10,Grassland
22932,75.882,39.351,-2.33946211,-1.64507348,10,Grassland
22731,75.882,39.451,-2.286846277,-1.504499491,10,Grassland
21420,75.882,40.151,-2.258152284,-1.473983432,10,Grassland
21240,75.882,40.251,-2.28088766,-1.115285501,10,Grassland
26850,75.982,37.751,-2.317385569,-0.762135477,10,Grassland
23378,75.982,39.151,-2.411572818,-2.546339394,10,Grassland
23155,75.982,39.251,-2.699958891,-0.985622499,10,Grassland
22933,75.982,39.351,-2.316135596,-2.145900251,10,Grassland
21421,75.982,40.151,-2.248821272,-0.331168281,10,Grassland
27487,76.082,37.551,-2.000085281,-0.869867749,10,Grassland
26851,76.082,37.751,-2.021465524,-1.291465352,10,Grassland
25728,76.082,38.151,-2.6618477,-0.432800231,12,Cropland
25456,76.082,38.251,-2.327922241,-1.129697509,12,Cropland
25198,76.082,38.351,-2.64041517,-0.7018227,12,Cropland
24033,76.082,38.851,-2.418626082,-3.58260417,10,Grassland
23156,76.082,39.251,-2.422174937,-1.614431509,10,Grassland
21241,76.082,40.251,-2.277292266,-0.95635742,10,Grassland
27488,76.182,37.551,-2.884018877,-0.920180202,10,Grassland
25457,76.182,38.251,-2.385654597,-0.742098569,10,Grassland
25199,76.182,38.351,-2.252066633,-1.747593848,10,Grassland
24034,76.182,38.851,-2.249590245,-1.224076406,12,Cropland
23823,76.182,38.951,-2.671066623,-0.23570226,12,Cropland
23380,76.182,39.151,-2.490062045,-1.715241226,12,Cropland
23157,76.182,39.251,-2.030719446,-1.600294547,10,Grassland
22935,76.182,39.351,-2.014151872,-1.47526053,10,Grassland
22732,76.182,39.451,-2.223663724,-1.089617063,10,Grassland
22539,76.182,39.551,-2.33740268,-1.229399299,10,Grassland
21242,76.182,40.251,-2.275494569,-0.792499344,10,Grassland
28803,76.282,37.151,-2.063975209,-0.643332664,10,Grassland
25458,76.282,38.251,-2.423483786,-3.805339225,12,Cropland
25200,76.282,38.351,-2.242591037,-0.053157449,12,Cropland
23602,76.282,39.051,-2.677379334,-0.651329481,12,Cropland
23158,76.282,39.251,-2.431025744,-2.647532516,10,Grassland
22936,76.282,39.351,-2.252587672,-1.571166264,10,Grassland
22733,76.282,39.451,-2.021946978,-1.55855581,10,Grassland
21243,76.282,40.251,-2.289216327,-0.917142444,10,Grassland
28465,76.382,37.251,-2.19426171,-1.292258531,10,Grassland
27490,76.382,37.551,-2.105883739,-0.949522514,10,Grassland
27166,76.382,37.651,-2.076424416,-1.306551131,10,Grassland
26853,76.382,37.751,-2.273728436,-1.569749614,10,Grassland
25731,76.382,38.151,-2.370811111,-0.762537531,10,Grassland
25459,76.382,38.251,-2.779882484,-1.046552417,10,Grassland
23825,76.382,38.951,-2.438546493,-1.670852184,12,Cropland
23603,76.382,39.051,-2.427799943,-1.420324924,12,Cropland
23381,76.382,39.151,-2.417053392,-1.018523213,12,Cropland
23159,76.382,39.251,-2.406143937,-0.874448263,12,Cropland
22937,76.382,39.351,-2.379561768,-1.681118984,10,Grassland
22734,76.382,39.451,-2.602061497,-0.339799455,10,Grassland
21244,76.382,40.251,-2.335916925,-1.290253214,10,Grassland
27807,76.482,37.451,-2.267545666,-1.103088035,10,Grassland
27491,76.482,37.551,-2.237317591,-2.236081076,10,Grassland
27167,76.482,37.651,-2.041521984,-1.424060795,12,Cropland
26854,76.482,37.751,-2.268555465,-0.851487138,10,Grassland
23604,76.482,39.051,-2.42082687,-1.033466069,12,Cropland
23160,76.482,39.251,-2.38126213,-1.68891608,10,Grassland
22938,76.482,39.351,-2.246132255,-1.23112875,12,Cropland
22735,76.482,39.451,-2.064948518,-1.752643925,12,Cropland
21055,76.482,40.351,-2.345817395,-1.150063031,12,Cropland
29162,76.582,37.051,-2.384795338,-1.427190746,10,Grassland
28806,76.582,37.151,-2.437638319,-1.052213592,10,Grassland
27808,76.582,37.451,-2.195840656,-1.536863101,10,Grassland
27492,76.582,37.551,-2.066664573,-0.921881707,10,Grassland
23161,76.582,39.251,-2.197502832,-1.127979533,10,Grassland
22736,76.582,39.451,-2.325150454,-1.729248458,10,Grassland
22540,76.582,39.551,-2.635802265,-0.641543411,10,Grassland
21056,76.582,40.351,-2.410530688,-1.398756101,10,Grassland
29510,76.682,36.951,-2.375980979,-1.48033639,10,Grassland
29163,76.682,37.051,-2.485972018,-0.692961178,12,Cropland
28807,76.682,37.151,-2.021762612,-1.481116563,10,Grassland
28467,76.682,37.251,-2.055710883,-1.080338993,12,Cropland
28140,76.682,37.351,-2.584538077,-1.402889563,12,Cropland
27493,76.682,37.551,-2.135920183,-1.191714222,12,Cropland
27169,76.682,37.651,-2.87394988,-0.23570226,10,Grassland
23383,76.682,39.151,-2.203847102,-1.155747922,10,Grassland
23162,76.682,39.251,-2.331498516,-0.696097461,10,Grassland
22737,76.682,39.451,-2.238246355,-1.457519711,10,Grassland
22541,76.682,39.551,-2.301786719,-1.531002239,10,Grassland
22332,76.682,39.651,-2.612748277,-0.990879748,10,Grassland
20864,76.682,40.451,-2.474469244,-1.564449535,10,Grassland
20657,76.682,40.551,-2.473694505,-3.238240797,10,Grassland
