Record_number,Entry_date,Study_number,Author,Duplicate_record,Quality_flag,Contributor,Country,Region,Site_name,Site_ID,Study_midyear,YearsOfData,Latitude,Longitude,Elevation,Manipulation,Manipulation_level,Age_ecosystem,Age_disturbance,Species,Biome,Ecosystem_type,Ecosystem_state,Leaf_habit,Stage,Soil_type,Soil_drainage,Soil_BD,Soil_CN,Soil_sand,Soil_silt,Soil_clay,MAT,MAP,PET,Study_temp,Study_precip,Meas_method,Collar_height,Collar_depth,Chamber_area,Time_of_day,Meas_interval,Annual_coverage,Partition_method,Rs_annual,Rs_annual_err,Rs_interann_err,Rlitter_annual,Ra_annual,Rh_annual,RC_annual,Rs_spring,Rs_summer,Rs_autumn,Rs_winter,Rs_growingseason,Rs_wet,Rs_dry,RC_seasonal,RC_season,GPP,ER,NEP,NPP,ANPP,BNPP,NPP_FR,TBCA,Litter_flux,Rootlitter_flux,TotDet_flux,Ndep,LAI,BA,C_veg_total,C_AG,C_BG,C_CR,C_FR,C_litter,C_soilmineral,C_soildepth,Notes,year,Juliday,month,ecosystems,total Soil respiration,soil temperature,soil MOSITURE (%WHC),Root respiration,Rh,Ecosystems,SPEI
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,1,Grassland,-31.59753647,,,,,4,-1.006410836
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,2,Grassland,-1.376983838,,,,,4,1.206775584
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,4,Grassland,87.31618745,,,,,4,-1.434237551
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,5,Grassland,157.7014956,,,,,4,0.096916788
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,6,Grassland,391.522708,,,,,4,-0.457473481
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,7,Grassland,328.9768669,,,,,4,-1.094930693
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,8,Grassland,201.6975363,,,,,4,-1.515465346
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,9,Grassland,82.76326119,,,,,4,-1.509554777
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,10,Grassland,64.03648827,,,,,4,-1.59221971
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,11,Grassland,29.29296402,,,,,4,-1.356728464
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2005,,12,Grassland,-25.13082557,,,,,4,0.217501763
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,1,Grassland,-15.26531362,,,,,4,-0.71840966
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,2,Grassland,-40.17224416,,,,,4,-0.593311065
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,3,Grassland,49.98738936,,,,,4,-2.07298581
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,4,Grassland,61.22530347,,,,,4,0.009738887
,,3,Qi,,,,China,,Inner Mongolia,CN-XILIN,2005,3,43.5125,116.827222,1343,,,,,Stipa baicalensis,Temperate,Grassland,Natural,Deciduous,Mature,chernozem,Dry,1.05,,,,,-1.4,450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006,,5,Grassland,115.9179011,,,,,4,-0.121643828
